id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;NBobs_maille;NBobs_commune
2362;1001;L'Abergement-Clémenciat;1;84;200069193;maille;9,372335348;7,409663525;11,85487972;0,774249278;701;2
2010;1002;L'Abergement-de-Varey;1;84;240100883;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;0
1456;1004;Ambérieu-en-Bugey;1;84;240100883;commune;10,07450708;7,865307059;12,90422511;0,670160882;2156;2156
2362;1005;Ambérieux-en-Dombes;1;84;200042497;maille;9,372335348;7,409663525;11,85487972;0,774249278;701;81
2055;1006;Ambléon;1;84;200040350;maille;8,96695486;7,101593346;11,3222872;0,752823051;842;3
2010;1007;Ambronay;1;84;240100883;commune;9,039235908;7,020316189;11,6387615;0,719598662;861;104
2010;1008;Ambutrix;1;84;240100883;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;12
2329;1009;Andert-et-Condon;1;84;200040350;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;5
2112;1010;Anglefort;1;84;200070852;maille;11,17266393;8,784753942;14,20966599;0,796999429;597;28
2673;1011;Apremont;1;84;200042935;maille;8,931484912;7,042985101;11,3263654;0,828564856;487;0
2010;1012;Aranc;1;84;240100578;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;11
2329;1013;Arandas;1;84;240100883;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;0
1665;1014;Arbent;1;84;200042935;commune;9,657218407;7,419209935;12,57032328;0,759627535;788;159
2055;1015;Arboys en Bugey;1;84;200040350;maille;8,96695486;7,101593346;11,3222872;0,752823051;842;0
1920;1016;Arbigny;1;84;200071371;epci;8,609190063;6,502321926;11,39872101;0,660390564;1106;0
2560;1017;Argis;1;84;240100883;maille;7,587898836;5,650173988;10,19016563;0,637654769;810;17
2329;1019;Armix;1;84;200040350;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;0
2345;1021;Ars-sur-Formans;1;84;200042497;maille;11,2670645;8,83474196;14,36903793;0,725937756;1036;44
2329;1022;Artemare;1;84;200040350;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;52
1920;1023;Asnières-sur-Saône;1;84;200071371;epci;8,609190063;6,502321926;11,39872101;0,660390564;1106;0
2341;1024;Attignat;1;84;200071751;commune;9,469397654;7,488389223;11,97446998;0,738779175;790;116
1683;1025;Bâgé-la-Ville;1;84;200071371;maille;8,476782424;6,60874808;10,87283694;0,720736684;688;34
1683;1026;Bâgé-le-Châtel;1;84;200071371;maille;8,476782424;6,60874808;10,87283694;0,720736684;688;93
2618;1027;Balan;1;84;240100610;maille;12,09755502;9,686133227;15,10931494;0,75768784;845;42
2362;1028;Baneins;1;84;200069193;maille;9,372335348;7,409663525;11,85487972;0,774249278;701;8
1785;1029;Beaupont;1;84;200071751;epci;7,630536274;5,961964682;9,766090028;0,747677581;1668;8
2262;1030;Beauregard;1;84;200042497;commune;9,100848778;7,274265274;11,38609129;0,781081536;490;106
2211;1031;Bellignat;1;84;200042935;commune;8,404109042;6,948630336;10,16445621;0,81693659;483;469
2618;1032;Béligneux;1;84;240100610;commune;12,09242096;9,684041994;15,09975326;0,75768784;845;188
384;1033;Bellegarde-sur-Valserine;1;84;240100891;commune;11,84552944;9,63060107;14,56986607;0,797934115;2351;2351
804;1034;Belley;1;84;200040350;commune;9,693040132;7,672879933;12,24507979;0,741878599;734;734
1665;1035;Belleydoux;1;84;200042935;maille;7,731821755;5,926937435;10,08633351;0,759627535;788;9
2329;1036;Belmont-Luthézieu;1;84;200040350;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;5
2329;1037;Bénonces;1;84;240100883;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;5
2341;1038;Bény;1;84;200071751;maille;9,026142078;7,136885571;11,41551731;0,738779175;790;23
2112;1039;Béon;1;84;200040350;maille;11,17266393;8,784753942;14,20966599;0,796999429;597;12
1920;1040;Béréziat;1;84;200071751;epci;8,935439483;6,75482918;11,81999968;0,660390564;1106;13
2329;1041;Bettant;1;84;240100883;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;23
2328;1042;Bey;1;84;200070555;maille;8,89283382;6,990386987;11,3130351;0,724772396;1210;0
1907;1043;Beynost;1;84;240100800;commune;12,17381472;9,560375674;15,50166751;0,718451531;659;202
2084;1044;Billiat;1;84;240100891;maille;8,585799582;6,342409501;11,62270497;0,761164555;764;44
2345;1045;Birieux;1;84;200069193;maille;11,2670645;8,83474196;14,36903793;0,725937756;1036;9
1683;1046;Biziat;1;84;200070555;maille;8,476782424;6,60874808;10,87283694;0,720736684;688;10
2010;1047;Blyes;1;84;240100883;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;9
1907;1049;La Boisse;1;84;240100610;commune;11,66263876;9,16435573;14,84197547;0,718451531;659;113
1920;1050;Boissey;1;84;200071371;epci;8,609190063;6,502321926;11,39872101;0,660390564;1106;6
1785;1051;Bolozon;1;84;200042935;maille;7,549618934;5,899042169;9,662034007;0,747677581;1668;0
2362;1052;Bouligneux;1;84;200069193;maille;9,372335348;7,409663525;11,85487972;0,774249278;701;3
1095;1053;Bourg-en-Bresse;1;84;200071751;commune;9,804855407;7,580523373;12,68186705;0,759527731;7926;7926
2345;1054;Bourg-Saint-Christophe;1;84;240100883;maille;11,2670645;8,83474196;14,36903793;0,725937756;1036;21
2010;1056;Boyeux-Saint-Jérôme;1;84;200029999;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;2
1920;1057;Boz;1;84;200071371;epci;8,609190063;6,502321926;11,39872101;0,660390564;1106;6
